Date,Sunrise,Sunset,30 mins,End Curtailment,Start Curtailment,
1-May-24,5:26,20:02,0:30,5:56,19:32,
2-May-24,5:24,20:03,0:30,5:54,19:33,
3-May-24,5:22,20:05,0:30,5:52,19:35,
4-May-24,5:21,20:06,0:30,5:51,19:36, 
5-May-24,5:19,20:08,0:30,5:49,19:38,
6-May-24,5:18,20:09,0:30,5:48,19:39,
7-May-24,5:16,20:10,0:30,5:46,19:40,
8-May-24,5:15,20:12,0:30,5:45,19:42,
9-May-24,5:13,20:13,0:30,5:43,19:43,
10-May-24,5:12,20:15,0:30,5:42,19:45,
11-May-24,5:10,20:16,0:30,5:40,19:46,
12-May-24,5:09,20:17,0:30,5:39,19:47,
13-May-24,5:07,20:19,0:30,5:37,19:49,
14-May-24,5:06,20:20,0:30,5:36,19:50,
15-May-24,5:05,20:21,0:30,5:35,19:51,
16-May-24,5:03,20:23,0:30,5:33,19:53,
17-May-24,5:02,20:24,0:30,5:32,19:54,
18-May-24,5:01,20:25,0:30,5:31,19:55,
19-May-24,5:00,20:26,0:30,5:30,19:56,
20-May-24,4:59,20:28,0:30,5:29,19:58,
21-May-24,4:58,20:29,0:30,5:28,19:59,
22-May-24,4:57,20:30,0:30,5:27,20:00,
23-May-24,4:56,20:31,0:30,5:26,20:01,
24-May-24,4:55,20:32,0:30,5:25,20:02,
25-May-24,4:54,20:34,0:30,5:24,20:04,
26-May-24,4:53,20:35,0:30,5:23,20:05,
27-May-24,4:52,20:36,0:30,5:22,20:06,
28-May-24,4:51,20:37,0:30,5:21,20:07,
29-May-24,4:50,20:38,0:30,5:20,20:08,
30-May-24,4:49,20:39,0:30,5:19,20:09,
31-May-24,4:49,20:40,0:30,5:19,20:10,
1-Jun-24,4:48,20:41,0:30,5:18,20:11,
2-Jun-24,4:47,20:42,0:30,5:17,20:12,
3-Jun-24,4:47,20:43,0:30,5:17,20:13,
4-Jun-24,4:46,20:43,0:30,5:16,20:13,
5-Jun-24,4:46,20:44,0:30,5:16,20:14,
6-Jun-24,4:45,20:45,0:30,5:15,20:15,
7-Jun-24,4:45,20:46,0:30,5:15,20:16,
8-Jun-24,4:45,20:47,0:30,5:15,20:17,
9-Jun-24,4:44,20:47,0:30,5:14,20:17,
10-Jun-24,4:44,20:48,0:30,5:14,20:18,
11-Jun-24,4:44,20:49,0:30,5:14,20:19,
12-Jun-24,4:44,20:49,0:30,5:14,20:19,
13-Jun-24,4:44,20:50,0:30,5:14,20:20,
14-Jun-24,4:43,20:50,0:30,5:13,20:20,
15-Jun-24,4:43,20:51,0:30,5:13,20:21,
16-Jun-24,4:43,20:51,0:30,5:13,20:21,
17-Jun-24,4:43,20:51,0:30,5:13,20:21,
18-Jun-24,4:44,20:52,0:30,5:14,20:22,
19-Jun-24,4:44,20:52,0:30,5:14,20:22,
20-Jun-24,4:44,20:52,0:30,5:14,20:22,
21-Jun-24,4:44,20:52,0:30,5:14,20:22,
22-Jun-24,4:44,20:52,0:30,5:14,20:22,
23-Jun-24,4:45,20:53,0:30,5:15,20:23,
24-Jun-24,4:45,20:53,0:30,5:15,20:23,
25-Jun-24,4:45,20:53,0:30,5:15,20:23,
26-Jun-24,4:46,20:53,0:30,5:16,20:23,
27-Jun-24,4:46,20:53,0:30,5:16,20:23,
28-Jun-24,4:47,20:52,0:30,5:17,20:22,
29-Jun-24,4:47,20:52,0:30,5:17,20:22,
30-Jun-24,4:48,20:52,0:30,5:18,20:22,
1-Jul-24,4:48,20:52,0:30,5:18,20:22,
2-Jul-24,4:49,20:51,0:30,5:19,20:21,
3-Jul-24,4:50,20:51,0:30,5:20,20:21,
4-Jul-24,4:51,20:51,0:30,5:21,20:21,
5-Jul-24,4:51,20:50,0:30,5:21,20:20,
6-Jul-24,4:52,20:50,0:30,5:22,20:20,
7-Jul-24,4:53,20:49,0:30,5:23,20:19,
8-Jul-24,4:54,20:49,0:30,5:24,20:19,
9-Jul-24,4:55,20:48,0:30,5:25,20:18,
10-Jul-24,4:56,20:47,0:30,5:26,20:17,
11-Jul-24,4:57,20:47,0:30,5:27,20:17,
12-Jul-24,4:58,20:46,0:30,5:28,20:16,
13-Jul-24,4:59,20:45,0:30,5:29,20:15,
14-Jul-24,5:00,20:44,0:30,5:30,20:14,
15-Jul-24,5:01,20:43,0:30,5:31,20:13,
16-Jul-24,5:02,20:42,0:30,5:32,20:12,
17-Jul-24,5:03,20:41,0:30,5:33,20:11,
18-Jul-24,5:04,20:41,0:30,5:34,20:11,
19-Jul-24,5:05,20:39,0:30,5:35,20:09,
20-Jul-24,5:06,20:38,0:30,5:36,20:08,
21-Jul-24,5:07,20:37,0:30,5:37,20:07,
22-Jul-24,5:09,20:36,0:30,5:39,20:06,
23-Jul-24,5:10,20:35,0:30,5:40,20:05,
24-Jul-24,5:11,20:34,0:30,5:41,20:04,
25-Jul-24,5:12,20:33,0:30,5:42,20:03,
26-Jul-24,5:13,20:31,0:30,5:43,20:01,
27-Jul-24,5:15,20:30,0:30,5:45,20:00,
28-Jul-24,5:16,20:29,0:30,5:46,19:59,
29-Jul-24,5:17,20:27,0:30,5:47,19:57,
30-Jul-24,5:19,20:26,0:30,5:49,19:56,
31-Jul-24,5:20,20:24,0:30,5:50,19:54,
1-Aug-24,5:21,20:23,0:30,5:51,19:53,
2-Aug-24,5:23,20:21,0:30,5:53,19:51,
3-Aug-24,5:24,20:20,0:30,5:54,19:50,
4-Aug-24,5:25,20:18,0:30,5:55,19:48,
5-Aug-24,5:27,20:17,0:30,5:57,19:47,
6-Aug-24,5:28,20:15,0:30,5:58,19:45,
7-Aug-24,5:29,20:14,0:30,5:59,19:44,
8-Aug-24,5:31,20:12,0:30,6:01,19:42,
9-Aug-24,5:32,20:10,0:30,6:02,19:40,
10-Aug-24,5:33,20:09,0:30,6:03,19:39,
11-Aug-24,5:35,20:07,0:30,6:05,19:37,
12-Aug-24,5:36,20:05,0:30,6:06,19:35,
13-Aug-24,5:38,20:03,0:30,6:08,19:33,
14-Aug-24,5:39,20:02,0:30,6:09,19:32,
15-Aug-24,5:40,20:00,0:30,6:10,19:30,
16-Aug-24,5:42,19:58,0:30,6:12,19:28,
17-Aug-24,5:43,19:56,0:30,6:13,19:26,
18-Aug-24,5:45,19:54,0:30,6:15,19:24,
19-Aug-24,5:46,19:52,0:30,6:16,19:22,
20-Aug-24,5:47,19:51,0:30,6:17,19:21,
21-Aug-24,5:49,19:49,0:30,6:19,19:19,
22-Aug-24,5:50,19:47,0:30,6:20,19:17,
23-Aug-24,5:52,19:45,0:30,6:22,19:15,
24-Aug-24,5:53,19:43,0:30,6:23,19:13,
25-Aug-24,5:54,19:41,0:30,6:24,19:11,
26-Aug-24,5:56,19:39,0:30,6:26,19:09,
27-Aug-24,5:57,19:37,0:30,6:27,19:07,
28-Aug-24,5:59,19:35,0:30,6:29,19:05,
